URL: /
Timestamp: Thu Oct 20 2022 18:59:26 GMT-0400 (Eastern Daylight Time)
::1 - - [11/Dec/2022:23:34:57 +0000] "GET /movie-api/movies/director/Christopher%20Nolan HTTP/1.1" 200 102 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:01:18:18 +0000] "PUT /movie-api/users HTTP/1.1" 200 32 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:01:24:01 +0000] "PUT /movie-api/users HTTP/1.1" 200 32 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:22:58:44 +0000] "DELETE /movie-api/users/1/favoriteMovie/3 HTTP/1.1" 404 175 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:00:30 +0000] "DELETE /movie-api/users/1/favoriteMovie/3 HTTP/1.1" 404 175 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:00:31 +0000] "DELETE /movie-api/users/1/favoriteMovie/3 HTTP/1.1" 404 175 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:01:54 +0000] "DELETE /movie-api/users/1/favoriteMovie/3 HTTP/1.1" 404 175 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:01:56 +0000] "DELETE /movie-api/users/1/favoriteMovie/3 HTTP/1.1" 404 175 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:01:57 +0000] "DELETE /movie-api/users/1/favoriteMovie/3 HTTP/1.1" 404 175 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:02:19 +0000] "DELETE /movie-api/users/1/favoriteMovie/3 HTTP/1.1" 404 175 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:02:20 +0000] "DELETE /movie-api/users/1/favoriteMovie/3 HTTP/1.1" 404 175 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:02:28 +0000] "DELETE /movie-api/users/1/favoriteMovie/3 HTTP/1.1" 404 175 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:02:29 +0000] "DELETE /movie-api/users/1/favoriteMovie/3 HTTP/1.1" 404 175 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:02:53 +0000] "DELETE /movie-api/user/1/favoriteMovie/3 HTTP/1.1" 200 154 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:03:41 +0000] "DELETE /movie-api/user/1/favoriteMovie/3 HTTP/1.1" 200 154 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:03:42 +0000] "DELETE /movie-api/user/1/favoriteMovie/3 HTTP/1.1" 200 154 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:03:56 +0000] "DELETE /movie-api/user/1/favoriteMovie/3 HTTP/1.1" 200 154 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:03:57 +0000] "DELETE /movie-api/user/1/favoriteMovie/3 HTTP/1.1" 200 154 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:04:14 +0000] "DELETE /movie-api/user/1/favoriteMovie/3 HTTP/1.1" 200 154 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:04:37 +0000] "DELETE /movie-api/user/1/favoriteMovie/3 HTTP/1.1" 200 154 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:06:48 +0000] "DELETE /movie-api/user/1/favoriteMovie/3 HTTP/1.1" 500 1847 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:07:21 +0000] "DELETE /movie-api/user/1/favoriteMovie/3 HTTP/1.1" 200 154 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:08:57 +0000] "DELETE /movie-api/user/1/favoriteMovie/3 HTTP/1.1" 200 154 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:09:12 +0000] "DELETE /movie-api/user/1/favoriteMovie/3 HTTP/1.1" 200 154 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:09:23 +0000] "DELETE /movie-api/user/1/favoriteMovie/3 HTTP/1.1" 200 154 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:12:17 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 201 57 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:12:24 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 201 57 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:12:30 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 201 57 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:12:40 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 201 57 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:12:59 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 201 57 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:13:04 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 201 57 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:13:26 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 201 57 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:13:36 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 201 57 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:14:03 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 201 49 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:14:07 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 201 49 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:14:11 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 201 49 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:14:28 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 201 49 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:14:38 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 201 49 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:14:42 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 201 49 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:15:32 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 201 49 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:15:48 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 201 49 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:16:34 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 201 49 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:16:47 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 201 49 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:16:59 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 201 49 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:17:10 +0000] "DELETE /movie-api/user/1/favoriteMovie/3 HTTP/1.1" 200 154 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:17:33 +0000] "DELETE /movie-api/user/1/favoriteMovie/3 HTTP/1.1" 200 154 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:17:39 +0000] "DELETE /movie-api/user/1/favoriteMovie/3 HTTP/1.1" 200 154 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:21:53 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 201 49 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:22:03 +0000] "POST /movie-api/user/favoriteMovie HTTP/1.1" 201 49 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:22:10 +0000] "DELETE /movie-api/user/1/favoriteMovie/3 HTTP/1.1" 200 154 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:22:46 +0000] "DELETE /movie-api/user/1/favoriteMovie/3 HTTP/1.1" 200 154 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:26:19 +0000] "DELETE /movie-api/user/4 HTTP/1.1" 200 51 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:38:34 +0000] "PUT /movie-api/user/4 HTTP/1.1" 200 32 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:42:33 +0000] "PUT /movie-api/user/4 HTTP/1.1" 200 2 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:43:42 +0000] "PUT /movie-api/user/4 HTTP/1.1" 200 2 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:44:24 +0000] "PUT /movie-api/user/4 HTTP/1.1" 200 2 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:44:30 +0000] "PUT /movie-api/user/4 HTTP/1.1" 200 2 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:45:44 +0000] "PUT /movie-api/user/4 HTTP/1.1" 201 180 "-" "PostmanRuntime/7.29.2"
::1 - - [14/Dec/2022:23:45:52 +0000] "PUT /movie-api/user/4 HTTP/1.1" 201 180 "-" "PostmanRuntime/7.29.2"
::1 - - [16/Dec/2022:22:11:39 +0000] "DELETE /movie-api/user/%201,%20/favoriteMovie/3 HTTP/1.1" 404 181 "-" "PostmanRuntime/7.29.2"
